Column1;Column2;Column3;Column4
0.0;1.0;53.81999657509115;45.88
0.0;1.0;23.240453066516665;44.61
0.0;0.0;114.97908359224019;42.9
0.0;0.0;206.7177141179637;42.03
0.0;0.0;298.4563446436872;39.33
0.0;1.0;267.8768011351127;42.98
0.0;1.0;237.29725762653825;41.23
0.0;1.0;206.71771411796377;42.12
1.0;1.0;110.1507346172022;45.1
0.0;1.0;79.57119110862772;44.27
0.0;1.0;48.99164760005323;44.18
1.0;0.0;74.74284213358968;42.05
0.0;1.0;44.16329862501519;38.61
0.0;0.0;135.9019291507387;37.76
0.0;0.0;227.64055967646223;33.03
0.0;0.0;319.3791902021858;35.84
1.0;1.0;222.8122107014242;44.24
1.0;1.0;126.24523120066263;46.29
0.0;1.0;95.66568769208814;40.05
0.0;1.0;65.08614418351365;38.15
0.0;0.0;156.82477470923718;30.26
1.0;1.0;60.25779520847561;40.2
0.0;1.0;29.678251699901125;30.89
1.0;0.0;55.429446233437574;23.35
0.0;0.0;147.1680767591611;12.4
0.0;0.0;238.90670728488462;19.01
1.0;1.0;142.33972778412306;23.51
1.0;1.0;45.772748283361494;23.25
0.0;0.0;137.51137880908502;20.01
0.0;0.0;229.25000933480854;20.8
0.0;0.0;320.9886398605321;22.14
0.0;1.0;290.4090963519576;23.68
1.0;0.0;316.1602908854941;25.05
1.0;1.0;219.5933113847325;26.3
1.0;1.0;123.02633188397093;30.81
1.0;1.0;26.459352383209364;27.06
1.0;0.0;52.21054691674581;8.5
0.0;0.0;143.94917744246933;-0.08
0.0;0.0;235.68780796819286;-0.01
0.0;0.0;327.4264384939164;-0.27
1.0;1.0;230.85945899315482;21.55
1.0;1.0;134.29247949239326;24.04
1.0;1.0;37.72549999163169;15.91
1.0;0.0;63.47669452516814;-0.02
1.0;0.0;89.22788905870459;-0.33
1.0;0.0;114.97908359224104;3.04
1.0;0.0;140.7302781257775;-7.28
1.0;1.0;44.163298625015926;-3.14
0.0;0.0;135.90192915073945;-12.0
0.0;0.0;227.64055967646297;-15.04
0.0;0.0;319.37919020218646;-11.09
1.0;0.0;345.13038473572294;-4.94
1.0;0.0;370.8815792692594;1.59
0.0;1.0;340.30203576068493;35.9
1.0;1.0;243.73505625992334;51.22
1.0;1.0;147.16807675916178;51.66
0.0;1.0;116.58853325058729;46.09
0.0;1.0;86.0089897420128;50.26
0.0;1.0;55.42944623343831;44.49
0.0;0.0;147.16807675916183;41.24
0.0;0.0;238.90670728488536;38.91
0.0;0.0;330.6453378106089;41.79
0.0;1.0;300.0657943020344;49.63
0.0;1.0;269.48625079345993;50.93
0.0;1.0;238.9067072848854;51.25
0.0;1.0;208.32716377631093;50.93
0.0;1.0;177.74762026773644;50.52
0.0;1.0;147.16807675916195;49.61
0.0;1.0;116.58853325058746;44.3
0.0;1.0;86.00898974201297;41.29
0.0;1.0;55.42944623343848;37.26
0.0;1.0;24.849902724863995;35.18
